,county,name
0, LOS ANGELES,1608
1, VENTURA,158
2, KERN,149
3, TULARE,67
4, MONTEREY,57
5, MARIN,43
6, MERCED,36
7, YOLO,29
8, IMPERIAL,26
9, NAPA,23
10, MADERA,23
11, KINGS,21
12, MENDOCINO,20
13, NEVADA,15
14, LAKE,12
15, YUBA,10
16, TUOLUMNE,10
17, ORANGE,7
18, LASSEN,7
19, SAN DIEGO,6
20, FRESNO,6
21, SACRAMENTO,5
22, INYO,5
23, GLENN,5
24, STANISLAUS,5
25, SAN BERNARDINO,4
26, PLACER,3
27, SANTA CLARA,3
28, SONOMA,3
29, BUTTE,2
30, CONTRA COSTA,2
31, MARIPOSA,2
32, MODOC,2
33, RIVERSIDE,2
34, ALAMEDA,2
35, SAN MATEO,1
36, SANTA CRUZ,1
37, SOLANO,1
38, COLUSA,1
